Table,Sheet,Field,Type,Position,ZH,VN,TH
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E7,江湖赠礼,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E12,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E17,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E22,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E27,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E32,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E37,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E42,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E47,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E52,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E57,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E62,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà,Thần Cơ Tặng Quà
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E68,Hoàng Thúc Tặng Phúc,Hoàng Thúc Tặng Phúc,Hoàng Thúc Tặng Phúc
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E73,Ân Trạch Ngụy Võ,Ân Trạch Ngụy Võ,Ân Trạch Ngụy Võ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E79,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E101,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E123,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E146,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E168,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E190,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E213,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E235,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E257,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E280,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E302,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E324,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E347,女神积分,女神积分,女神积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E382,初春积分,初春积分,初春积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E417,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E452,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E487,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E522,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E557,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E592,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E626,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E661,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E696,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E731,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E766,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E801,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E836,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E871,鸿运积分,鸿运积分,鸿运积分
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E906,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E928,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E950,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E973,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E995,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1017,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1040,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1062,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1084,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1107,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1129,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1151,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1174,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1196,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1218,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1241,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1263,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1285,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1308,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1330,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1352,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1375,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
act_20205_renwu_0.xlsx,act_20205_renwu_0,des1,后端,E1397,Vui Rút Thẻ,Vui Rút Thẻ,Vui Rút Thẻ
